ID da fila;ID da compra;Data da compra;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
1;MX-2014-143658;02/10/2014;06/10/2014;Classe padrão;SR-20575;Sofia Rocha;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-ET-10001014;Material de escritório;Etiquetas;HON Etiquetas para organização de pastas, Ajustável;130,8;3;0;45,6
2;MX-2012-155047;15/10/2012;20/10/2012;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-MÓ-10004592;Móveis;Móveis ;Tenex Relógio de parede, Durável;2521,6;8;0;907,2
3;MX-2012-155047;15/10/2012;20/10/2012;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MÓV-ES-10000849;Móveis;Estantes;Ikea Gaveteiro, Branco;1932,8;2;0;540,8
4;MX-2012-155047;15/10/2012;20/10/2012;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-FI-10003284;Material de escritório;Fichários;Cardinal Pasta argolada, Transparente;354,4;4;0;49,6
5;MX-2012-155047;15/10/2012;20/10/2012;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-AR-10002762;Material de escritório;Arte;Sanford Tela, Tamanhos variados;716;2;0;114,4
6;MX-2012-155047;15/10/2012;20/10/2012;Classe padrão;LC-16570;Larissa Cardoso;Varejo;Dos Quebradas;Risaralda;Colômbia;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0;213,2
7;MX-2013-134096;27/09/2013;01/10/2013;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-EN-10000610;Material de escritório;Envelopes;GlobeWeis Com lacre, Vermelho;561,2;2;0;213,2
8;MX-2013-134096;27/09/2013;01/10/2013;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-MÁ-10001040;Tecnologia;Máquinas;Konica Impressora de crachás, Vermelho;3446,4;3;0;1654,2
9;MX-2013-134096;27/09/2013;01/10/2013;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-MA-10001660;Material de escritório;Materiais;Elite Estilete, Industrial;973,6;4;0;194,4
10;MX-2013-134096;27/09/2013;01/10/2013;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-AC-10004490;Tecnologia;Acessórios;Enermax Roteador, Reciclado;3415,2;2;0;136,4
11;MX-2013-134096;27/09/2013;01/10/2013;Classe padrão;DG-13000;Diogo Goncalves;Varejo;São Paulo;São Paulo;Brasil;Sul;MAT-FI-10001314;Material de escritório;Fichários;Wilson Jones Reforço para fichário, Durável;120,6;3;0;34,8
12;MX-2013-156335;05/03/2013;12/03/2013;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MAT-CO-10002112;Material de escritório;Colchetes;Accos Grampos, Embalagem com 12;207,6;3;0;95,4
13;MX-2013-156335;05/03/2013;12/03/2013;Classe padrão;VC-21250;Vinícius Cardoso;Varejo;Managua;Managua;Nicarágua;Central;MÓV-CA-10004486;Móveis;Cadeiras;HON Cadeira dobrável, Preto;2106,4;4;0;504,8
14;MX-2014-121923;24/09/2014;01/10/2014;Classe padrão;MC-18910;Melissa Cunha;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;MAT-EN-10001401;Material de escritório;Envelopes;Kraft Com lacre, Prata;801;3;0;376,2
15;MX-2014-135706;18/10/2014;23/10/2014;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-AR-10002737;Material de escritório;Arte;Stanley Tela, Embalagem tipo bulk;1326,4;4;0;357,6
16;MX-2014-135706;18/10/2014;23/10/2014;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-CO-10002418;Material de escritório;Colchetes;Advantus Prendedores de papel, Metal;129,4;1;0;10,2
17;US-2013-126655;26/06/2013;01/07/2013;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10001346;Material de escritório;Envelopes;Jiffy Fita dupla face, Vermelho;188,4;2;0,4;-66
18;US-2013-126655;26/06/2013;01/07/2013;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10002468;Móveis;Móveis ;Deflect-O Moldura, Embalagem multipack;3082,8;7;0,4;-1491
19;US-2013-126655;26/06/2013;01/07/2013;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10004794;Material de escritório;Envelopes;GlobeWeis Malote, Prata;401,76;2;0,4;-60,64
20;US-2013-126655;26/06/2013;01/07/2013;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10003820;Material de escritório;Envelopes;Jiffy Envelope com fecho, Reciclado;87,84;3;0,4;-48,36
21;MX-2013-167759;19/12/2013;25/12/2013;Classe padrão;JS-15610;José Souza;Grande Empresa;San Cristóbal de Las Casas;Chiapas;México;Norte;MÓV-CA-10004369;Móveis;Cadeiras;HON Cadeira de balanço, Preto;2734,72;4;0,2;957,12
22;MX-2013-163139;29/10/2013;02/11/2013;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;TEC-AC-10002771;Tecnologia;Acessórios;Enermax Mouse, Durável;270;1;0;59,4
23;MX-2013-163139;29/10/2013;02/11/2013;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;MAT-MA-10000059;Material de escritório;Materiais;Acme Estilete, Retangular;2070;9;0;662,4
24;US-2014-119753;03/10/2014;08/10/2014;Classe padrão;EC-13195;Eduarda Castro;Grande Empresa;Cidade do Panamá;Panamá;Panamá;Central;MAT-FI-10002744;Material de escritório;Fichários;Acco Encadernadora, Transparente;606,6;3;0,4;-202,2
25;US-2012-133970;26/09/2012;29/09/2012;Primeira classe;SA-20215;Samuel Almeida;Varejo;Hermosillo;Sonora;México;Norte;MÓV-MÓ-10004431;Móveis;Móveis ;Deflect-O Relógio de parede, Preto;1811,16;9;0,4;-755,64
26;MX-2014-120607;18/06/2014;25/06/2014;Classe padrão;SP-20650;Sophia Pereira;Grande Empresa;Coyoacán;Distrito Federal;México;Norte;TEC-CO-10004677;Tecnologia;Copiadoras;HP Copiadora, Colorida;3261,8632;2;0,002;647,0632
27;MX-2014-120607;18/06/2014;25/06/2014;Classe padrão;SP-20650;Sophia Pereira;Grande Empresa;Coyoacán;Distrito Federal;México;Norte;MAT-AR-10000951;Material de escritório;Armazenamento;Rogers Caixa, Tamanho real;800;5;0;344
28;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-FI-10000837;Material de escritório;Fichários;Wilson Jones Encadernadora, Durável;1412,88;7;0,4;-730,52
29;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,4;4;0,4;-32,8
30;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-TE-10003197;Tecnologia;Telefones;Motorola Telefone do escritório, Azul;1148,16;4;0,4;-498,24
31;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10003036;Material de escritório;Arte;Crayola Marcador, Azul;192,72;2;0,4;28,72
32;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000856;Material de escritório;Acessórios;Breville Torradeira, Preto;1522,8;5;0,4;-990,2
33;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004237;Tecnologia;Copiadoras;Sharp Fax, Digital;9417,7824;8;0,402;-6017,4176
34;US-2013-167129;24/05/2013;31/05/2013;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10001838;Material de escritório;Arte;Stanley Apontador, Metal;104,16;1;0,4;-7,04
35;MX-2014-100727;15/05/2014;18/05/2014;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10002935;Material de escritório;Materiais;Fiskars Estilete, Retangular;3007,2;14;0;1290,8
36;MX-2014-100727;15/05/2014;18/05/2014;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001381;Material de escritório;Materiais;Acme Abridor de carta, Aço;1381,8;7;0;537,6
37;MX-2014-100727;15/05/2014;18/05/2014;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001508;Material de escritório;Materiais;Kleencut Estilete, Aço;908;4;0;317,6
38;MX-2014-154739;04/07/2014;07/07/2014;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ME-10004436;Móveis;Mesas;Chromcraft Mesa de centro, Retangular;5293,2;3;0;2646,6
39;MX-2014-154739;04/07/2014;07/07/2014;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ES-10001334;Móveis;Estantes;Ikea Estante, Branco;3336;4;0;1067,2
40;MX-2014-154739;04/07/2014;07/07/2014;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MAT-CO-10003965;Material de escritório;Colchetes;Advantus Elásticos, Embalagem com 12;427,2;4;0;4
